count,min_from_zero
34695,4080.0
34457,4085.0
34349,4075.0
34069,4105.0
34029,4050.0
33971,4045.0
33944,4055.0
33913,4070.0
33816,4040.0
33758,4035.0
33609,4100.0
33575,4030.0
33298,4025.0
33201,4015.0
33156,4000.0
33109,4020.0
33107,4005.0
33038,4010.0
32872,4155.0
32847,4090.0
32816,3995.0
32794,3990.0
32709,4160.0
32702,4175.0
32674,4180.0
32593,4185.0
32577,3980.0
32572,4065.0
32556,4170.0
32346,4200.0
32342,4095.0
32337,4150.0
32330,4190.0
32309,3975.0
32305,4195.0
32301,4165.0
32155,4115.0
32136,3985.0
32099,4205.0
32015,4230.0
31928,4210.0
31776,3970.0
31731,4140.0
31685,3965.0
31642,4215.0
31633,4220.0
31595,4235.0
31593,4225.0
31586,4250.0
31539,4240.0
31479,4125.0
31428,4245.0
31327,3960.0
31301,3955.0
31271,4135.0
31197,4255.0
31187,2775.0
31108,4060.0
31093,4260.0
31014,2765.0
31003,3950.0
30987,2780.0
30881,2785.0
30831,3945.0
30807,4265.0
30793,2795.0
30708,4130.0
30707,2770.0
30703,2800.0
30640,4275.0
30624,2790.0
30604,4270.0
30570,2760.0
30564,2815.0
30562,2750.0
30527,3940.0
30486,2805.0
30446,3935.0
30432,2810.0
30383,2745.0
30340,4280.0
30290,3925.0
30264,2740.0
30252,2820.0
30207,4110.0
30110,4285.0
30063,4290.0
29999,2755.0
29992,3930.0
29962,3920.0
29872,3915.0
29774,3905.0
29727,2830.0
29700,2825.0
29647,4120.0
29621,3910.0
29610,3900.0
29592,2835.0
29543,4295.0
29537,4305.0
29505,3895.0
29447,4310.0
29441,4300.0
29400,4360.0
29375,4315.0
29347,3890.0
29310,4380.0
29297,4400.0
29288,4325.0
29257,4375.0
29229,4390.0
29210,4340.0
29186,4405.0
29155,4145.0
29146,4385.0
29119,4320.0
29095,3870.0
29082,3885.0
29049,4330.0
29033,3865.0
29021,4420.0
29009,4355.0
29002,4335.0
29000,3860.0
28985,3880.0
28983,4370.0
28974,4415.0
28938,4365.0
28933,4395.0
28915,4430.0
28910,3875.0
28909,2845.0
28894,2840.0
28873,4410.0
28828,4350.0
28814,4345.0
28797,4425.0
28788,4435.0
28743,2860.0
28718,4440.0
28640,4445.0
28554,3855.0
28534,4450.0
28528,2850.0
28471,2855.0
28451,3850.0
28393,3840.0
28367,3845.0
28347,5260.0
28345,2870.0
28302,4465.0
28292,5255.0
28289,4475.0
28285,3835.0
28280,4455.0
28278,3830.0
28233,2865.0
28200,2875.0
28168,4490.0
28112,4480.0
28042,5285.0
28018,4485.0
28017,4470.0
27943,4495.0
27914,5280.0
27885,4460.0
27866,2880.0
27853,3825.0
27785,5250.0
27779,5230.0
27751,2735.0
27729,2885.0
27703,4500.0
27695,2900.0
27649,4505.0
27612,5275.0
27558,3820.0
27550,5220.0
27536,5225.0
27524,4515.0
27502,3815.0
27427,2890.0
27409,2910.0
27339,4510.0
27324,2905.0
27274,4520.0
27242,3810.0
27217,3805.0
27206,2915.0
27182,5320.0
27119,5205.0
27100,5215.0
27100,4525.0
27089,5195.0
27085,5245.0
27071,2895.0
27044,5200.0
27041,5325.0
27023,5210.0
27018,5265.0
26976,5310.0
26974,4530.0
26958,2920.0
26924,2925.0
26896,2930.0
26891,5330.0
26862,3790.0
26859,3800.0
26770,4535.0
26753,3795.0
26715,5190.0
26663,5180.0
26652,5315.0
26584,5185.0
26547,2940.0
26474,2935.0
26473,5270.0
26426,4545.0
26385,5175.0
26364,4555.0
26358,4540.0
26324,2950.0
26313,4550.0
26310,5165.0
26308,5290.0
26293,3780.0
26272,3775.0
26227,3785.0
26219,2960.0
26136,5170.0
26089,4560.0
26009,2945.0
26007,5305.0
25994,5160.0
25975,3770.0
25941,2970.0
25923,3765.0
25912,4565.0
25696,4575.0
25689,2965.0
25673,2955.0
25649,4580.0
25610,4570.0
25561,5150.0
25523,5155.0
25490,3760.0
25486,3125.0
25483,4585.0
25472,5235.0
25417,3130.0
25375,3115.0
25368,5300.0
25368,5145.0
25367,3120.0
25302,3140.0
25290,5240.0
25207,5135.0
25202,3135.0
25107,2985.0
25067,5140.0
25052,5130.0
25045,5125.0
25030,2975.0
25024,3755.0
25013,3000.0
24997,5295.0
24995,3105.0
24980,4590.0
24926,2980.0
24884,2995.0
24862,5120.0
24857,3150.0
24846,2990.0
24844,4595.0
24837,3145.0
24813,3010.0
24810,3100.0
24774,4605.0
24769,3050.0
24750,3015.0
24745,4600.0
24712,3750.0
24704,3005.0
24680,5095.0
24666,3030.0
24609,3025.0
24609,3155.0
24598,3740.0
24563,3035.0
24536,5090.0
24534,3745.0
24519,3020.0
24516,5115.0
