count,time1,time2,min_from_zero
7112,1491163080.0,1491163140.0,4074.0
7106,1491166020.0,1491166080.0,4123.0
7104,1491166560.0,1491166620.0,4132.0
7101,1491163440.0,1491163500.0,4080.0
7071,1491164220.0,1491164280.0,4093.0
7035,1491163380.0,1491163440.0,4079.0
6996,1491163500.0,1491163560.0,4081.0
6975,1491163740.0,1491163800.0,4085.0
6972,1491162480.0,1491162540.0,4064.0
6971,1491163680.0,1491163740.0,4084.0
6940,1491162600.0,1491162660.0,4066.0
6939,1491163200.0,1491163260.0,4076.0
6935,1491163800.0,1491163860.0,4086.0
6923,1491161760.0,1491161820.0,4052.0
6920,1491165900.0,1491165960.0,4121.0
6920,1491164700.0,1491164760.0,4101.0
6915,1491164940.0,1491165000.0,4105.0
6904,1491162780.0,1491162840.0,4069.0
6887,1491164340.0,1491164400.0,4095.0
6886,1491160740.0,1491160800.0,4035.0
6885,1491164880.0,1491164940.0,4104.0
6872,1491161820.0,1491161880.0,4053.0
6870,1491161520.0,1491161580.0,4048.0
6862,1491164400.0,1491164460.0,4096.0
6854,1491164520.0,1491164580.0,4098.0
6849,1491167400.0,1491167460.0,4146.0
6847,1491162660.0,1491162720.0,4067.0
6837,1491160500.0,1491160560.0,4031.0
6831,1491158700.0,1491158760.0,4001.0
6830,1491160800.0,1491160860.0,4036.0
6830,1491161040.0,1491161100.0,4040.0
6829,1491161640.0,1491161700.0,4050.0
6822,1491166680.0,1491166740.0,4134.0
6822,1491163320.0,1491163380.0,4078.0
6821,1491163140.0,1491163200.0,4075.0
6821,1491161220.0,1491161280.0,4043.0
6819,1491162960.0,1491163020.0,4072.0
6818,1491161460.0,1491161520.0,4047.0
6805,1491162900.0,1491162960.0,4071.0
6799,1491161340.0,1491161400.0,4045.0
6798,1491163260.0,1491163320.0,4077.0
6793,1491161160.0,1491161220.0,4042.0
6792,1491163020.0,1491163080.0,4073.0
6788,1491161580.0,1491161640.0,4049.0
6784,1491160860.0,1491160920.0,4037.0
6779,1491161100.0,1491161160.0,4041.0
6779,1491161280.0,1491161340.0,4044.0
6773,1491160320.0,1491160380.0,4028.0
6772,1491160200.0,1491160260.0,4026.0
6759,1491163620.0,1491163680.0,4083.0
6756,1491163560.0,1491163620.0,4082.0
6756,1491161940.0,1491162000.0,4055.0
6746,1491169320.0,1491169380.0,4178.0
6738,1491163860.0,1491163920.0,4087.0
6735,1491164580.0,1491164640.0,4099.0
6733,1491164820.0,1491164880.0,4103.0
6726,1491159300.0,1491159360.0,4011.0
6725,1491164640.0,1491164700.0,4100.0
6724,1491161400.0,1491161460.0,4046.0
6717,1491168900.0,1491168960.0,4171.0
6716,1491160620.0,1491160680.0,4033.0
6710,1491158520.0,1491158580.0,3998.0
6705,1491160980.0,1491161040.0,4039.0
6705,1491160560.0,1491160620.0,4032.0
6703,1491165300.0,1491165360.0,4111.0
6699,1491159960.0,1491160020.0,4022.0
6698,1491165480.0,1491165540.0,4114.0
6697,1491161880.0,1491161940.0,4054.0
6697,1491158400.0,1491158460.0,3996.0
6697,1491160020.0,1491160080.0,4023.0
6696,1491161700.0,1491161760.0,4051.0
6689,1491167580.0,1491167640.0,4149.0
6688,1491168000.0,1491168060.0,4156.0
6684,1491159060.0,1491159120.0,4007.0
6680,1491160440.0,1491160500.0,4030.0
6680,1491165000.0,1491165060.0,4106.0
6676,1491160380.0,1491160440.0,4029.0
6674,1491160260.0,1491160320.0,4027.0
6672,1491159480.0,1491159540.0,4014.0
6671,1491159600.0,1491159660.0,4016.0
6670,1491166800.0,1491166860.0,4136.0
6667,1491160920.0,1491160980.0,4038.0
6666,1491159000.0,1491159060.0,4006.0
6662,1491159900.0,1491159960.0,4021.0
6660,1491167760.0,1491167820.0,4152.0
6659,1491159180.0,1491159240.0,4009.0
6655,1491158100.0,1491158160.0,3991.0
6649,1491159720.0,1491159780.0,4018.0
6647,1491169680.0,1491169740.0,4184.0
6647,1491160080.0,1491160140.0,4024.0
6640,1491162300.0,1491162360.0,4061.0
6636,1491167700.0,1491167760.0,4151.0
6635,1491158460.0,1491158520.0,3997.0
6634,1491166140.0,1491166200.0,4125.0
6633,1491158940.0,1491159000.0,4005.0
6633,1491165420.0,1491165480.0,4113.0
6633,1491157800.0,1491157860.0,3986.0
6631,1491162720.0,1491162780.0,4068.0
6627,1491169620.0,1491169680.0,4183.0
6624,1491159360.0,1491159420.0,4012.0
6621,1491158220.0,1491158280.0,3993.0
6620,1491157380.0,1491157440.0,3979.0
6616,1491164760.0,1491164820.0,4102.0
6614,1491159780.0,1491159840.0,4019.0
6614,1491160680.0,1491160740.0,4034.0
6611,1491159840.0,1491159900.0,4020.0
6609,1491170580.0,1491170640.0,4199.0
6608,1491159540.0,1491159600.0,4015.0
6605,1491168660.0,1491168720.0,4167.0
6605,1491158820.0,1491158880.0,4003.0
6603,1491166200.0,1491166260.0,4126.0
6603,1491166860.0,1491166920.0,4137.0
6598,1491158040.0,1491158100.0,3990.0
6595,1491157560.0,1491157620.0,3982.0
6593,1491160140.0,1491160200.0,4025.0
6591,1491162840.0,1491162900.0,4070.0
6586,1491158580.0,1491158640.0,3999.0
6586,1491157440.0,1491157500.0,3980.0
6583,1491167520.0,1491167580.0,4148.0
6581,1491157200.0,1491157260.0,3976.0
6571,1491159420.0,1491159480.0,4013.0
6568,1491167820.0,1491167880.0,4153.0
6565,1491172800.0,1491172860.0,4236.0
6564,1491159660.0,1491159720.0,4017.0
6558,1491172380.0,1491172440.0,4229.0
6558,1491169200.0,1491169260.0,4176.0
6556,1491169980.0,1491170040.0,4189.0
6555,1491158160.0,1491158220.0,3992.0
6555,1491156960.0,1491157020.0,3972.0
6547,1491159240.0,1491159300.0,4010.0
6547,1491170280.0,1491170340.0,4194.0
6545,1491157860.0,1491157920.0,3987.0
6544,1491168180.0,1491168240.0,4159.0
6542,1491164100.0,1491164160.0,4091.0
6541,1491168600.0,1491168660.0,4166.0
6537,1491170820.0,1491170880.0,4203.0
6537,1491167280.0,1491167340.0,4144.0
6534,1491158760.0,1491158820.0,4002.0
6533,1491157920.0,1491157980.0,3988.0
6528,1491158640.0,1491158700.0,4000.0
6528,1491156540.0,1491156600.0,3965.0
6526,1491163920.0,1491163980.0,4088.0
6526,1491158340.0,1491158400.0,3995.0
6525,1491157140.0,1491157200.0,3975.0
6520,1491171480.0,1491171540.0,4214.0
6516,1491168720.0,1491168780.0,4168.0
6515,1491168300.0,1491168360.0,4161.0
6512,1491169020.0,1491169080.0,4173.0
6510,1491156840.0,1491156900.0,3970.0
6509,1491157080.0,1491157140.0,3974.0
6508,1491167940.0,1491168000.0,4155.0
6508,1491169080.0,1491169140.0,4174.0
6507,1491166920.0,1491166980.0,4138.0
6505,1491168240.0,1491168300.0,4160.0
6504,1491158880.0,1491158940.0,4004.0
6504,1491169920.0,1491169980.0,4188.0
6503,1491169500.0,1491169560.0,4181.0
6500,1491168960.0,1491169020.0,4172.0
6500,1491168120.0,1491168180.0,4158.0
6500,1491167880.0,1491167940.0,4154.0
6495,1491170340.0,1491170400.0,4195.0
6495,1491169380.0,1491169440.0,4179.0
6494,1491168840.0,1491168900.0,4170.0
6492,1491165600.0,1491165660.0,4116.0
6492,1491170400.0,1491170460.0,4196.0
6486,1491170520.0,1491170580.0,4198.0
6485,1491157980.0,1491158040.0,3989.0
6482,1491159120.0,1491159180.0,4008.0
6480,1491169260.0,1491169320.0,4177.0
6476,1491169560.0,1491169620.0,4182.0
6475,1491172500.0,1491172560.0,4231.0
6474,1491168540.0,1491168600.0,4165.0
6474,1491169860.0,1491169920.0,4187.0
6473,1491168480.0,1491168540.0,4164.0
6473,1491155940.0,1491156000.0,3955.0
6472,1491168060.0,1491168120.0,4157.0
6468,1491171180.0,1491171240.0,4209.0
6465,1491169140.0,1491169200.0,4175.0
6461,1491172200.0,1491172260.0,4226.0
6460,1491168360.0,1491168420.0,4162.0
6460,1491163980.0,1491164040.0,4089.0
6459,1491158280.0,1491158340.0,3994.0
6457,1491170040.0,1491170100.0,4190.0
6452,1491171540.0,1491171600.0,4215.0
6447,1491170880.0,1491170940.0,4204.0
6433,1491164460.0,1491164520.0,4097.0
6431,1491170220.0,1491170280.0,4193.0
6425,1491157500.0,1491157560.0,3981.0
6419,1491170160.0,1491170220.0,4192.0
6416,1491167160.0,1491167220.0,4142.0
6414,1491157260.0,1491157320.0,3977.0
6413,1491170100.0,1491170160.0,4191.0
6412,1491170640.0,1491170700.0,4200.0
6400,1491168780.0,1491168840.0,4169.0
6397,1491171240.0,1491171300.0,4210.0
6396,1491171900.0,1491171960.0,4221.0
6396,1491162000.0,1491162060.0,4056.0
6395,1491169440.0,1491169500.0,4180.0
6394,1491171000.0,1491171060.0,4206.0
6392,1491162120.0,1491162180.0,4058.0
6390,1491156900.0,1491156960.0,3971.0
6390,1491170700.0,1491170760.0,4201.0
6384,1491173160.0,1491173220.0,4242.0
6379,1491168420.0,1491168480.0,4163.0
6377,1491157620.0,1491157680.0,3983.0
6376,1491157320.0,1491157380.0,3978.0
6375,1491171120.0,1491171180.0,4208.0
6375,1491170760.0,1491170820.0,4202.0
6374,1491171780.0,1491171840.0,4219.0
6371,1491157740.0,1491157800.0,3985.0
6371,1491166260.0,1491166320.0,4127.0
6369,1491172080.0,1491172140.0,4224.0
6368,1491157680.0,1491157740.0,3984.0
6367,1491171840.0,1491171900.0,4220.0
6367,1491156600.0,1491156660.0,3966.0
6357,1491173100.0,1491173160.0,4241.0
6357,1491173400.0,1491173460.0,4246.0
6355,1491172440.0,1491172500.0,4230.0
6354,1491162420.0,1491162480.0,4063.0
6353,1491156240.0,1491156300.0,3960.0
6351,1491172260.0,1491172320.0,4227.0
6350,1491173280.0,1491173340.0,4244.0
6350,1491084420.0,1491084480.0,2763.0
6350,1491170940.0,1491171000.0,4205.0
6347,1491170460.0,1491170520.0,4197.0
6340,1491169740.0,1491169800.0,4185.0
6339,1491169800.0,1491169860.0,4186.0
6338,1491156420.0,1491156480.0,3963.0
6336,1491171720.0,1491171780.0,4218.0
6336,1491083340.0,1491083400.0,2745.0
6333,1491173580.0,1491173640.0,4249.0
6332,1491172680.0,1491172740.0,4234.0
6331,1491171600.0,1491171660.0,4216.0
6331,1491156720.0,1491156780.0,3968.0
6330,1491157020.0,1491157080.0,3973.0
6327,1491173520.0,1491173580.0,4248.0
6325,1491172740.0,1491172800.0,4235.0
6323,1491172020.0,1491172080.0,4223.0
6323,1491162360.0,1491162420.0,4062.0
6323,1491086880.0,1491086940.0,2804.0
6322,1491173460.0,1491173520.0,4247.0
6320,1491174060.0,1491174120.0,4257.0
6313,1491155880.0,1491155940.0,3954.0
6309,1491084960.0,1491085020.0,2772.0
6304,1491156000.0,1491156060.0,3956.0
6299,1491156780.0,1491156840.0,3969.0
6296,1491086520.0,1491086580.0,2798.0
6295,1491155340.0,1491155400.0,3945.0
6294,1491171060.0,1491171120.0,4207.0
6294,1491156480.0,1491156540.0,3964.0
6293,1491156300.0,1491156360.0,3961.0
6290,1491172320.0,1491172380.0,4228.0
6289,1491085320.0,1491085380.0,2778.0
6286,1491171300.0,1491171360.0,4211.0
6285,1491173760.0,1491173820.0,4252.0
6284,1491173040.0,1491173100.0,4240.0
6284,1491171420.0,1491171480.0,4213.0
6283,1491154140.0,1491154200.0,3925.0
6283,1491162540.0,1491162600.0,4065.0
6282,1491086100.0,1491086160.0,2791.0
6280,1491172980.0,1491173040.0,4239.0
6273,1491172620.0,1491172680.0,4233.0
6272,1491085440.0,1491085500.0,2780.0
6272,1491171960.0,1491172020.0,4222.0
6271,1491155640.0,1491155700.0,3950.0
6269,1491156660.0,1491156720.0,3967.0
6266,1491156120.0,1491156180.0,3958.0
6265,1491165540.0,1491165600.0,4115.0
6261,1491174000.0,1491174060.0,4256.0
6259,1491085020.0,1491085080.0,2773.0
6247,1491173640.0,1491173700.0,4250.0
6243,1491173700.0,1491173760.0,4251.0
6243,1491083640.0,1491083700.0,2750.0
6242,1491173880.0,1491173940.0,4254.0
6235,1491174360.0,1491174420.0,4262.0
6233,1491155580.0,1491155640.0,3949.0
6233,1491172140.0,1491172200.0,4225.0
6232,1491156360.0,1491156420.0,3962.0
6232,1491087180.0,1491087240.0,2809.0
6231,1491156060.0,1491156120.0,3957.0
6228,1491085140.0,1491085200.0,2775.0
6227,1491084900.0,1491084960.0,2771.0
6226,1491174180.0,1491174240.0,4259.0
6225,1491171660.0,1491171720.0,4217.0
6225,1491085500.0,1491085560.0,2781.0
6223,1491174600.0,1491174660.0,4266.0
6223,1491173820.0,1491173880.0,4253.0
6223,1491085260.0,1491085320.0,2777.0
6222,1491085680.0,1491085740.0,2784.0
6213,1491084720.0,1491084780.0,2768.0
6212,1491082860.0,1491082920.0,2737.0
6212,1491083040.0,1491083100.0,2740.0
6211,1491155460.0,1491155520.0,3947.0
6210,1491174420.0,1491174480.0,4263.0
6209,1491173220.0,1491173280.0,4243.0
6208,1491172860.0,1491172920.0,4237.0
6206,1491084480.0,1491084540.0,2764.0
6206,1491084120.0,1491084180.0,2758.0
6204,1491155820.0,1491155880.0,3953.0
6204,1491084360.0,1491084420.0,2762.0
6204,1491173940.0,1491174000.0,4255.0
6202,1491175020.0,1491175080.0,4273.0
6202,1491172920.0,1491172980.0,4238.0
6199,1491165180.0,1491165240.0,4109.0
6198,1491175920.0,1491175980.0,4288.0
