count,min_from_zero
1,0
2,5
12,15
15,20
2,35
1,40
5,45
7,50
3,55
1,65
6,85
24,90
10,95
17,100
1,115
8,135
12,140
17,145
18,150
17,155
4,165
3,175
1,180
1,205
1,215
8,220
9,225
1,230
1,235
2,240
2,255
1,260
12,265
15,270
7,285
13,290
13,295
17,300
8,305
2,320
11,325
15,470
13,475
6,480
2,510
1,880
2,900
4,905
4,910
4,915
2,920
2,935
15,940
6,945
2,950
2,955
5,965
4,970
3,975
697,1015
1629,1020
2202,1025
2657,1030
2919,1035
3500,1040
3699,1045
3968,1050
4300,1055
4785,1060
5261,1065
5692,1070
6030,1075
6283,1080
6488,1085
7380,1090
7586,1095
8050,1100
8944,1105
9593,1110
9966,1115
10443,1120
11180,1125
11890,1130
12476,1135
12588,1140
13072,1145
13331,1150
13474,1155
13577,1160
13849,1165
14100,1170
14586,1175
14897,1180
15481,1185
15613,1190
15894,1195
15911,1200
15874,1205
16023,1210
16503,1215
16660,1220
16919,1225
16909,1230
17245,1235
17442,1240
17750,1245
17862,1250
17619,1255
20579,1260
16064,1265
10657,1270
14304,1275
10688,1280
13015,1285
10680,1290
11817,1295
10815,1300
11035,1305
10281,1310
10683,1315
10265,1320
10038,1325
9892,1330
10094,1335
9781,1340
9844,1345
9739,1350
9865,1355
10360,1360
12679,1365
14429,1370
14534,1375
14574,1380
14682,1385
14771,1390
15045,1395
14814,1400
14883,1405
15117,1410
15051,1415
14788,1420
15003,1425
15072,1430
15145,1435
14624,1440
13184,1445
7413,1450
11774,1455
8386,1460
10630,1465
8623,1470
9909,1475
9030,1480
9876,1485
9050,1490
9578,1495
9032,1500
9175,1505
9145,1510
9044,1515
9384,1520
9035,1525
9094,1530
9188,1535
9159,1540
9210,1545
9352,1550
9419,1555
9145,1560
9277,1565
9215,1570
9293,1575
9016,1580
9084,1585
9139,1590
9082,1595
9192,1600
8833,1605
8774,1610
8745,1615
6279,1620
4195,1625
5603,1630
6960,1635
6369,1640
4930,1645
5236,1650
5972,1655
6156,1660
5247,1665
5062,1670
5650,1675
5922,1680
5518,1685
5490,1690
5690,1695
5801,1700
5430,1705
5234,1710
5673,1715
5916,1720
5490,1725
5516,1730
5531,1735
5741,1740
5677,1745
5576,1750
6284,1755
6207,1760
6106,1765
6649,1770
7351,1775
7519,1780
7347,1785
7596,1790
7183,1795
7487,1800
7458,1805
7242,1810
7645,1815
7398,1820
7529,1825
7391,1830
7320,1835
7317,1840
6899,1845
7185,1850
6614,1855
7073,1860
6694,1865
6784,1870
6812,1875
6832,1880
6835,1885
6702,1890
6586,1895
7072,1900
6602,1905
7096,1910
6408,1915
7065,1920
6469,1925
7102,1930
6603,1935
6202,1940
7466,1945
6308,1950
7059,1955
6298,1960
7146,1965
6247,1970
6765,1975
6053,1980
6272,1985
6564,1990
6004,1995
6719,2000
5765,2005
6659,2010
6152,2015
6264,2020
6634,2025
6117,2030
6422,2035
6194,2040
7002,2045
6205,2050
6407,2055
6869,2060
6346,2065
7002,2070
6455,2075
6592,2080
7185,2085
6539,2090
7432,2095
6543,2100
7089,2105
7488,2110
6820,2115
7670,2120
7228,2125
7534,2130
8055,2135
7453,2140
8256,2145
7513,2150
8545,2155
7761,2160
8742,2165
8153,2170
9031,2175
8372,2180
9034,2185
8629,2190
9289,2195
9027,2200
9452,2205
9460,2210
9581,2215
9574,2220
9702,2225
10397,2230
9976,2235
10223,2240
10168,2245
10335,2250
10561,2255
10462,2260
10769,2265
10595,2270
11013,2275
11133,2280
10969,2285
11291,2290
11290,2295
11643,2300
11433,2305
11878,2310
11792,2315
11738,2320
12003,2325
12054,2330
12388,2335
12135,2340
12469,2345
12195,2350
12677,2355
12584,2360
12998,2365
12750,2370
12981,2375
13367,2380
13319,2385
13124,2390
13693,2395
13735,2400
13791,2405
13908,2410
14128,2415
14087,2420
14250,2425
14377,2430
14240,2435
14347,2440
14443,2445
14623,2450
14619,2455
14587,2460
14934,2465
14749,2470
15160,2475
15376,2480
15270,2485
15398,2490
15344,2495
15771,2500
15306,2505
16055,2510
15624,2515
15685,2520
15947,2525
15882,2530
16017,2535
15947,2540
15979,2545
16091,2550
16051,2555
16163,2560
16439,2565
16369,2570
16616,2575
16587,2580
16731,2585
16560,2590
16512,2595
16717,2600
16518,2605
16821,2610
16518,2615
16985,2620
16875,2625
17222,2630
17142,2635
17373,2640
17159,2645
17106,2650
17392,2655
17550,2660
17465,2665
17783,2670
