posts,users
1,2340499
2,1175052
3,768335
4,572021
5,460215
6,383663
7,330170
8,287842
9,256041
10,227403
11,204489
12,185885
13,169180
14,155614
15,143961
16,132575
17,122326
18,114277
19,106772
20,99301
21,92574
22,86527
23,81802
24,76859
25,72065
26,68366
27,64018
28,61020
29,57359
30,54479
31,51563
32,49352
33,46463
34,44292
35,42083
36,40254
37,38339
38,36835
39,34961
40,33283
41,32157
42,30219
43,29248
44,27949
45,26639
46,25866
47,24824
48,23718
49,22984
50,22024
51,21045
52,20482
53,19719
54,18962
55,18478
56,17619
57,16826
58,16560
59,16022
60,15212
61,14890
62,14499
63,13776
64,13415
65,12969
66,12550
67,12084
68,11740
69,11327
70,10892
71,10641
72,10258
73,10095
74,9690
75,9476
76,9165
77,8752
78,8720
79,8369
80,8046
81,7990
82,7733
83,7442
84,7200
85,6867
86,6823
87,6577
88,6507
89,6342
90,6177
91,5958
92,5767
93,5733
94,5491
95,5378
96,5185
97,5035
98,4897
99,4789
100,4748
101,4592
102,4434
104,4275
103,4250
105,4120
106,4097
108,3903
107,3873
109,3685
110,3654
111,3632
112,3413
113,3373
114,3316
116,3252
115,3178
117,3121
118,3001
119,2932
121,2895
122,2853
120,2835
123,2697
124,2642
125,2605
126,2600
127,2415
128,2383
129,2362
130,2294
131,2225
133,2161
134,2159
132,2112
135,2078
137,2007
138,1986
136,1975
139,1915
140,1869
142,1763
143,1763
144,1733
145,1719
141,1706
146,1697
148,1568
147,1565
149,1553
150,1521
151,1512
153,1475
152,1444
154,1374
155,1348
156,1311
157,1308
158,1291
161,1239
162,1204
160,1202
159,1173
163,1170
165,1144
164,1137
166,1131
169,1099
168,1066
167,1056
172,1042
170,1003
171,1003
174,961
173,918
176,907
175,890
178,872
179,868
180,848
181,833
177,825
183,812
185,803
182,793
187,786
184,776
188,763
191,763
186,736
189,732
190,722
192,668
194,654
193,652
195,640
196,637
197,635
199,617
200,613
201,587
202,586
203,565
205,556
198,554
206,543
207,534
204,532
211,507
208,502
209,495
213,493
212,485
214,483
216,450
222,449
218,447
210,447
215,439
221,438
217,428
223,427
219,423
220,421
224,408
225,399
230,386
226,373
229,373
233,365
231,361
227,355
236,353
228,346
232,342
235,335
239,328
237,326
238,316
241,305
245,305
234,304
242,303
240,302
244,292
249,291
248,282
243,281
247,276
250,268
251,262
246,253
252,248
256,244
254,243
253,241
257,233
255,233
273,232
263,231
261,230
264,229
258,229
269,219
260,218
268,213
272,213
259,213
279,199
267,199
266,196
265,196
262,195
270,193
274,191
276,186
285,177
281,176
278,174
277,174
271,173
275,169
280,168
286,168
282,160
293,159
283,157
287,157
291,156
288,155
290,153
289,152
284,146
296,141
294,138
302,137
295,134
309,134
292,133
300,133
311,131
298,131
310,129
320,122
299,122
301,120
303,120
304,119
305,119
307,118
297,115
306,115
315,113
313,113
312,112
319,111
323,111
308,109
314,108
317,106
316,106
321,102
324,101
330,99
326,98
318,98
331,95
322,93
344,87
325,85
336,84
337,83
333,82
339,81
328,81
345,78
329,78
334,77
327,76
342,76
335,76
346,75
351,74
341,71
349,71
338,70
355,70
343,69
360,68
332,66
356,65
353,64
370,63
347,63
352,61
361,60
348,60
373,60
359,60
340,59
363,59
358,58
362,57
375,56
354,55
366,55
357,54
377,54
372,53
371,52
364,52
350,52
365,51
382,50
368,49
389,49
374,49
367,48
378,47
379,46
394,46
385,43
380,42
397,41
376,40
369,40
393,40
387,40
395,39
386,39
384,39
406,39
390,38
417,37
388,36
391,36
409,35
383,35
430,33
401,32
407,32
381,32
416,32
405,32
415,31
396,31
420,31
402,31
392,29
404,29
400,29
412,28
425,27
399,27
421,27
408,27
423,27
435,26
418,26
413,26
427,26
398,26
422,26
414,25
410,25
431,25
411,24
419,24
440,24
446,23
439,23
428,23
433,23
403,23
437,22
424,21
444,21
441,21
447,20
443,20
474,19
429,19
460,19
449,17
480,17
451,17
463,16
475,16
448,16
442,16
513,16
455,16
434,15
464,15
454,15
461,15
488,14
436,14
476,14
426,14
453,14
465,13
478,13
456,13
483,13
477,13
482,13
468,13
492,12
470,12
471,12
450,12
432,12
493,12
438,12
490,11
466,11
467,11
462,10
579,10
506,10
473,10
508,10
479,10
504,10
472,10
459,9
497,9
501,9
503,9
494,9
469,9
445,9
500,8
509,8
458,8
534,8
489,8
498,8
486,8
515,7
532,7
544,7
485,7
487,7
484,7
520,7
533,6
457,6
570,6
540,6
531,6
481,6
496,6
554,6
590,6
518,6
521,6
525,6
516,5
565,5
522,5
491,5
510,5
538,5
557,5
599,5
511,5
502,5
514,5
499,5
545,5
452,5
536,5
580,5
523,5
574,4
495,4
541,4
586,4
549,4
628,4
539,4
548,4
547,4
596,4
507,4
526,4
594,4
517,4
519,4
537,4
550,4
589,4
563,4
535,3
528,3
606,3
505,3
512,3
572,3
652,3
566,3
564,3
524,3
551,3
558,3
529,3
569,3
623,3
577,3
670,3
546,3
556,3
555,2
559,2
584,2
654,2
605,2
603,2
593,2
646,2
630,2
527,2
634,2
587,2
583,2
608,2
581,2
562,2
653,2
656,2
567,2
640,2
624,2
633,2
629,2
560,2
530,2
767,2
591,1
625,1
553,1
575,1
730,1
641,1
643,1
542,1
639,1
645,1
543,1
598,1
597,1
795,1
637,1
673,1
758,1
601,1
561,1
692,1
693,1
765,1
632,1
626,1
552,1
658,1
766,1
631,1
713,1
651,1
781,1
777,1
642,1
678,1
621,1
607,1
638,1
707,1
600,1
